icd_code,icd_chapter
0039,(A00-B99)
0074,(A00-B99)
00801,(A00-B99)
00866,(A00-B99)
01012,(A00-B99)
01314,(A00-B99)
01336,(A00-B99)
01521,(A00-B99)
01576,(A00-B99)
01604,(A00-B99)
01613,(A00-B99)
01642,(A00-B99)
01650,(A00-B99)
01741,(A00-B99)
01745,(A00-B99)
01756,(A00-B99)
01803,(A00-B99)
01890,(A00-B99)
0318,(A00-B99)
04186,(A00-B99)
05411,(A00-B99)
05601,(A00-B99)
0720,(A00-B99)
0773,(A00-B99)
0845,(A00-B99)
0862,(A00-B99)
1129,(A00-B99)
1173,(A00-B99)
1215,(A00-B99)
1222,(A00-B99)
1251,(A00-B99)
1259,(A00-B99)
1509,(C00-D49)
1579,(C00-D49)
1717,(C00-D49)
17300,(C00-D49)
1733,(C00-D49)
17360,(C00-D49)
1945,(C00-D49)
20014,(C00-D49)
20521,(C00-D49)
2335,(C00-D49)
25053,(E00-E89)
2693,(E00-E89)
2751,(E00-E89)
28261,(D50-D89)
28263,(D50-D89)
2832,(D50-D89)
29555,(F01-F99)
29615,(F01-F99)
30019,(F01-F99)
30120,(F01-F99)
30273,(F01-F99)
30552,(F01-F99)
30573,(F01-F99)
30591,(F01-F99)
30743,(F01-F99)
31534,(F01-F99)
3220,(G00-G99)
32382,(G00-G99)
33393,(G00-G99)
33944,(G00-G99)
33981,(G00-G99)
3411,(G00-G99)
34612,(G00-G99)
36000,(G00-G99)
36106,(G00-G99)
36132,(G00-G99)
36303,(G00-G99)
36355,(G00-G99)
36855,(G00-G99)
36964,(G00-G99)
37024,(G00-G99)
37901,(G00-G99)
37945,(G00-G99)
38503,(G00-G99)
38523,(G00-G99)
3871,(G00-G99)
38915,(G00-G99)
3910,(I00-I99)
3970,(I00-I99)
42841,(I00-I99)
4292,(I00-I99)
43820,(I00-I99)
4466,(I00-I99)
45932,(I00-I99)
4761,(J00-J99)
47834,(J00-J99)
4829,(J00-J99)
48812,(J00-J99)
49301,(J00-J99)
51289,(J00-J99)
5285,(K00-K95)
53311,(K00-K95)
53521,(K00-K95)
5409,(K00-K95)
56089,(K00-K95)
5768,(K00-K95)
5847,(N00-N99)
6029,(N00-N99)
6186,(N00-N99)
6201,(N00-N99)
6261,(N00-N99)
63401,(O00-O9A)
63732,(O00-O9A)
6399,(O00-O9A)
64303,(O00-O9A)
64420,(O00-O9A)
64814,(O00-O9A)
64863,(O00-O9A)
65351,(O00-O9A)
65480,(O00-O9A)
65551,(O00-O9A)
65683,(O00-O9A)
65830,(O00-O9A)
65931,(O00-O9A)
65970,(O00-O9A)
66060,(O00-O9A)
66353,(O00-O9A)
66461,(O00-O9A)
66530,(O00-O9A)
66572,(O00-O9A)
66574,(O00-O9A)
66600,(O00-O9A)
67082,(O00-O9A)
67150,(O00-O9A)
67303,(O00-O9A)
67311,(O00-O9A)
67401,(O00-O9A)
67500,(O00-O9A)
67910,(O00-O9A)
69273,(L00-L99)
69514,(L00-L99)
69519,(L00-L99)
69557,(L00-L99)
6980,(L00-L99)
70713,(L00-L99)
7109,(M00-M99)
71218,(M00-M99)
71225,(M00-M99)
71232,(M00-M99)
71609,(M00-M99)
71900,(M00-M99)
71961,(M00-M99)
71983,(M00-M99)
71986,(M00-M99)
71988,(M00-M99)
7213,(M00-M99)
72280,(M00-M99)
72811,(M00-M99)
72886,(M00-M99)
7333,(M00-M99)
73600,(M00-M99)
74343,(Q00-Q99)
74447,(Q00-Q99)
74560,(Q00-Q99)
74760,(Q00-Q99)
7511,(Q00-Q99)
75430,(Q00-Q99)
75460,(Q00-Q99)
75563,(Q00-Q99)
7601,(P00-P96)
76415,(P00-P96)
76421,(P00-P96)
76519,(P00-P96)
77017,(P00-P96)
7717,(P00-P96)
7765,(P00-P96)
7874,(R00-R99)
78760,(R00-R99)
78931,(R00-R99)
79001,(R00-R99)
7933,(R00-R99)
80011,(S00-T88)
80023,(S00-T88)
80135,(S00-T88)
80146,(S00-T88)
80176,(S00-T88)
80189,(S00-T88)
8027,(S00-T88)
80313,(S00-T88)
80335,(S00-T88)
80342,(S00-T88)
80414,(S00-T88)
80415,(S00-T88)
80490,(S00-T88)
80501,(S00-T88)
80621,(S00-T88)
8069,(S00-T88)
8074,(S00-T88)
80842,(S00-T88)
81381,(S00-T88)
81407,(S00-T88)
82131,(S00-T88)
82312,(S00-T88)
83301,(S00-T88)
83914,(S00-T88)
8418,(S00-T88)
85105,(S00-T88)
85143,(S00-T88)
85146,(S00-T88)
9873,(S00-T88)
85216,(S00-T88)
85232,(S00-T88)
85316,(S00-T88)
85406,(S00-T88)
85411,(S00-T88)
86393,(S00-T88)
87262,(S00-T88)
87339,(S00-T88)
8781,(S00-T88)
8790,(S00-T88)
8870,(S00-T88)
9011,(S00-T88)
90301,(S00-T88)
9125,(S00-T88)
9150,(S00-T88)
9192,(S00-T88)
94215,(S00-T88)
94225,(S00-T88)
94240,(S00-T88)
94342,(S00-T88)
94453,(S00-T88)
9473,(S00-T88)
9579,(S00-T88)
9606,(S00-T88)
9630,(S00-T88)
96501,(S00-T88)
9680,(S00-T88)
9690,(S00-T88)
9711,(S00-T88)
9735,(S00-T88)
9736,(S00-T88)
9745,(S00-T88)
9770,(S00-T88)
9890,(S00-T88)
9892,(S00-T88)
9899,(S00-T88)
9913,(S00-T88)
9946,(S00-T88)
99701,(S00-T88)
99709,(S00-T88)
99832,(S00-T88)
9994,(S00-T88)
E0082,(V00-Y99)
E0130,(V00-Y99)
E0183,(V00-Y99)
E8142,(V00-Y99)
E8193,(V00-Y99)
E8324,(V00-Y99)
E8344,(V00-Y99)
E8347,(V00-Y99)
E8348,(V00-Y99)
E8602,(V00-Y99)
E8660,(V00-Y99)
E8810,(V00-Y99)
E8859,(V00-Y99)
E8930,(V00-Y99)
E9021,(V00-Y99)
E9059,(V00-Y99)
E9102,(V00-Y99)
E9104,(V00-Y99)
E9131,(V00-Y99)
E9274,(V00-Y99)
E9292,(V00-Y99)
E9343,(V00-Y99)
E9447,(V00-Y99)
E9555,(V00-Y99)
E9791,(V00-Y99)
E9792,(V00-Y99)
E9821,(V00-Y99)
E995,(V00-Y99)
E9960,(V00-Y99)
V051,(Z00-Z99)
V1242,(Z00-Z99)
V1309,(Z00-Z99)
V1911,(Z00-Z99)
V2131,(Z00-Z99)
V218,(Z00-Z99)
V252,(Z00-Z99)
V2549,(Z00-Z99)
V2622,(Z00-Z99)
V4366,(Z00-Z99)
V462,(Z00-Z99)
V5309,(Z00-Z99)
V5873,(Z00-Z99)
V6105,(Z00-Z99)
V6129,(Z00-Z99)
V629,(Z00-Z99)
V6540,(Z00-Z99)
V755,(Z00-Z99)
V791,(Z00-Z99)
V581,(Z00-Z99)
0048,(A00-B99)
0060,(A00-B99)
01116,(A00-B99)
01120,(A00-B99)
01174,(A00-B99)
01350,(A00-B99)
